dataset_name,series_description,algorithm,hyperparameters
246.csv,"A univariate time-series dataset  consists of 192 samples with a missing values percentage of 0.0% imputed using FBProphet model and 5.729166666666666% detected outliers. The target series has a sampling rate of 360 minutes, minimum value of -1.262634655240075, maximum value of 0.7842191070407991, median value of -0.9894687541497708, mean value of -0.9149315058002837, and average standard deviation of 0.13799424667239404 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has No significant lags observed using the partial autocorrelation function (pACF). The series looks to be a multiplicative time-series with a linear trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 5.The series exhibits a skewness value of 3.721225702355674 and a kurtosis value of 14.451532678754681. The Fractal dimension analysis yields a value of -0.9833389983710162, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",SVR,"{'C': 2, 'epsilon': 0.05, 'kernel': 'linear'}"
M46498_train.csv,"A univariate time-series dataset  consists of 114 samples with a missing values percentage of 0.0% imputed using FBProphet model and 3.508771929824561% detected outliers. The target series has a sampling rate of 44640 minutes, minimum value of 732.4283556666667, maximum value of 1850.7843137333334, median value of 1077.8594838709678, mean value of 1136.2733796866723, and average standard deviation of 0.14206447306774636 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 6 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 6 lags ranges from 0.8591501569548561 for the lag number 1 to 0.36795146343127294 for the lag number 8. There exist 2 insignificant lags at these indices 4,5 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 114.The series exhibits a skewness value of 0.9618794106787953 and a kurtosis value of 0.4947204459585386. The Fractal dimension analysis yields a value of -0.5276166673393791, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 1.0, 'gamma': 0.9, 'learning_rate': 1, 'max_depth': 2, 'n_estimators': 20, 'random_state': 42, 'reg_lambda': 0.8, 'subsample': 1}"
D865_train.csv,"A univariate time-series dataset  consists of 2555 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 618.57, maximum value of 2002.05, median value of 1158.955, mean value of 1226.7304901960783, and average standard deviation of 0.09628183699631554 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 4 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 4 lags ranges from 0.9977631821306837 for the lag number 1 to 0.07218247458207047 for the lag number 4.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 10 seasonality components detected in this series represented as sinusoidal waves with periods 638,365,255,212,182,141,121,98,85,79.The series exhibits a skewness value of 0.3076360293163125 and a kurtosis value of 1.0359694492054152. The Fractal dimension analysis yields a value of -0.5237981047658836, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.6111111111111112, 'random_state': 42, 'selection': 'cyclic'}"
H366_train.csv,"A univariate time-series dataset  consists of 768 samples with a missing values percentage of 0.0% imputed using FBProphet model and 5.46875% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of 11.0, maximum value of 444.0, median value of 67.0, mean value of 84.97897503285151, and average standard deviation of 0.18116176890013713 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 5 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 5 lags ranges from 0.7606188984602642 for the lag number 1 to -0.07535764456395845 for the lag number 6. There exist 1 insignificant lags at these indices 5 between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 24,12.The series exhibits a skewness value of 2.2570442408573452 and a kurtosis value of 5.859288678458498. The Fractal dimension analysis yields a value of -0.38909135837748937, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 1, 'min_samples_leaf': 12, 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 42, 'warm_start': True}"
M39469_train.csv,"A univariate time-series dataset  consists of 116 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 44640 minutes, minimum value of 2803.4193548387098, maximum value of 8720.333333333334, median value of 4287.5, mean value of 4817.695299869064, and average standard deviation of 0.0782801960607869 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has only 1 significant laf observed using the partial autocorrelation function (pACF) with value 0.9398750124166483.The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 116.The series exhibits a skewness value of 0.6832129536539736 and a kurtosis value of 0.4862312332208436. The Fractal dimension analysis yields a value of -0.5836402457259631, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 512, 'random_state': 42, 'warm_start': True}"
155.csv,"A univariate time-series dataset  consists of 17280 samples with a missing values percentage of 0.017361111111111112% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.3606413638017707, maximum value of 0.998172821226582, median value of -0.0012463775972451, mean value of -0.11145287392728728, and average standard deviation of 0.07503093176052049 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8778604116138442 for the lag number 1 to 0.1026904469140666 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 13 seasonality components detected in this series represented as sinusoidal waves with periods 493,360,270,236,213,196,178,158,152,144,123,118,114.The series exhibits a skewness value of 0.3676509647511768 and a kurtosis value of 0.974476406003407. The Fractal dimension analysis yields a value of -0.9725146699227287, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 0.0010250274965966633, 'random_state': 42, 'selection': 'cyclic'}"
288.csv,"A univariate time-series dataset  consists of 1056 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 360 minutes, minimum value of -1.2014298424834875, maximum value of 0.9076771728474068, median value of -0.3013452266796366, mean value of -0.23585222935435352, and average standard deviation of 0.09387685937764594 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 9 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 9 lags ranges from 0.7745750921054408 for the lag number 1 to -0.09650569829473565 for the lag number 10. There exist 1 insignificant lags at these indices 9 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 4 seasonality components detected in this series represented as sinusoidal waves with periods 211,132,27,4.The series exhibits a skewness value of 0.33107297343028314 and a kurtosis value of 0.5245227088734117. The Fractal dimension analysis yields a value of -1.1270461978723054, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.3, 'random_state': 42, 'selection': 'random'}"
D2220_train.csv,"A univariate time-series dataset  consists of 634 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 4759.0, maximum value of 9830.0, median value of 6242.0, mean value of 6778.5317460317465, and average standard deviation of 0.0523549687090379 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 2 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 2 lags ranges from 0.994734242133863 for the lag number 1 to -0.154953473150492 for the lag number 3. There exist 1 insignificant lags at these indices 2 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 211,126.The series exhibits a skewness value of 0.797998496348619 and a kurtosis value of 0.4134877134051802. The Fractal dimension analysis yields a value of -0.48602289554002187, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 0.5657799882610194, 'random_state': 42, 'selection': 'random'}"
18.csv,"A univariate time-series dataset  consists of 5760 samples with a missing values percentage of 0.034722222222222224% imputed using FBProphet model and 0.3125% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of -1.328853117229687, maximum value of 0.9987335397443804, median value of -0.3407000397896337, mean value of -0.28208272178663146, and average standard deviation of 0.08768176504906444 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8219529519676689 for the lag number 1 to 0.07406276910737623 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 198,169.The series exhibits a skewness value of 0.41286914034016925 and a kurtosis value of 0.48032133893443296. The Fractal dimension analysis yields a value of -0.9233308763788038, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 1.0, 'random_state': 42, 'selection': 'random'}"
128.csv,"A univariate time-series dataset  consists of 9216 samples with a missing values percentage of 0.03255208333333333% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 30 minutes, minimum value of -1.3478488064770555, maximum value of 1.3527499729103478, median value of 0.009673286986320799, mean value of 0.005150576336782159, and average standard deviation of 0.18816817873113395 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.9027405129195184 for the lag number 1 to 0.028677716237528236 for the lag number 9.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a linear trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 3072,341.The series exhibits a skewness value of 0.001236263749149275 and a kurtosis value of 0.82407340694837. The Fractal dimension analysis yields a value of -0.8607275679892701, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 0.5, 'gamma': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'random_state': 42, 'reg_lambda': 10, 'subsample': 1}"
323.csv,"A univariate time-series dataset  consists of 576 samples with a missing values percentage of 0.0% imputed using FBProphet model and 4.340277777777778% detected outliers. The target series has a sampling rate of 360 minutes, minimum value of -1.3020515617480408, maximum value of 1.1360356773888296, median value of -0.9022775878747473, mean value of -0.6441426678137373, and average standard deviation of 0.18700103549094155 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 7 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 7 lags ranges from 0.47115266101310904 for the lag number 1 to -0.1426931015509199 for the lag number 9. There exist 3 insignificant lags at these indices 2,5,8 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 28,4.The series exhibits a skewness value of 1.429973812783031 and a kurtosis value of 1.299493459451543. The Fractal dimension analysis yields a value of -1.1119181649759908, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",AdaboostRegressor,"{'estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.1, 'loss': 'linear', 'n_estimators': 10, 'random_state': 42}"
256.csv,"A univariate time-series dataset  consists of 34560 samples with a missing values percentage of 0.014467592592592591% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.4151139541195217, maximum value of 0.9993854585376905, median value of 0.0, mean value of -0.3629227676260159, and average standard deviation of 0.09756378229589151 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8546435853073427 for the lag number 1 to 0.09966265771335003 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 7 seasonality components detected in this series represented as sinusoidal waves with periods 8640,5760,3840,2880,2468,2032,1728.The series exhibits a skewness value of 0.40846220419155166 and a kurtosis value of 1.3726609458658388. The Fractal dimension analysis yields a value of -0.9669502545233759, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 1.0, 'random_state': 42, 'selection': 'cyclic'}"
D447_train.csv,"A univariate time-series dataset  consists of 3644 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 729.4, maximum value of 18592.1, median value of 8358.6, mean value of 7227.851346893897, and average standard deviation of 0.07710697520178719 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 3 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 3 lags ranges from 0.9977867318154059 for the lag number 1 to 0.03490771952820721 for the lag number 5. There exist 2 insignificant lags at these indices 3,4 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 8 seasonality components detected in this series represented as sinusoidal waves with periods 3644,1214,607,364,280,242,191,125.The series exhibits a skewness value of 0.05589311723601486 and a kurtosis value of 0.406829140414561. The Fractal dimension analysis yields a value of -0.4429449456477329, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.7666666666666666, 'random_state': 42, 'selection': 'cyclic'}"
W280_train.csv,"A univariate time-series dataset  consists of 1315 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 10080 minutes, minimum value of 173.487, maximum value of 4058.413, median value of 1337.8890000000001, mean value of 1604.1501088957054, and average standard deviation of 0.03885951365615587 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 9 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 9 lags ranges from 1.0001847490272509 for the lag number 1 to -0.16774083705940335 for the lag number 10. There exist 1 insignificant lags at these indices 9 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 657,187.The series exhibits a skewness value of 0.6570297092660675 and a kurtosis value of 0.8672533202475883. The Fractal dimension analysis yields a value of -0.7400554242172364, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 9.999999999999999e-06, 'random_state': 42, 'selection': 'cyclic'}"
191.csv,"A univariate time-series dataset  consists of 5184 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.21219135802469136% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of -1.2065295437826913, maximum value of 0.99079426969991, median value of -0.3580834507230818, mean value of -0.2777821896428809, and average standard deviation of 0.08255320568627646 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8500192859603243 for the lag number 1 to 0.10101945430656517 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 9 seasonality components detected in this series represented as sinusoidal waves with periods 185,129,110,92,76,64,58,52,49.The series exhibits a skewness value of 0.46914128600204114 and a kurtosis value of 0.5307672148729083. The Fractal dimension analysis yields a value of -0.9622751861063994, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 1.0, 'random_state': 42, 'selection': 'random'}"
116.csv,"A univariate time-series dataset  consists of 504 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 480 minutes, minimum value of -1.1730865226262348, maximum value of 1.1962086627391493, median value of 0.0417423116044743, mean value of 0.03880120816142082, and average standard deviation of 0.2140316263862719 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 5 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 5 lags ranges from 0.8362419462413125 for the lag number 1 to -0.20734002873084845 for the lag number 6. There exist 1 insignificant lags at these indices 3 between the first and the last significant ones. The series looks to be a additive time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 21.The series exhibits a skewness value of 0.004200073966743808 and a kurtosis value of 0.85182329427102. The Fractal dimension analysis yields a value of -0.36824564556194717, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 512, 'random_state': 42, 'warm_start': True}"
D2576_train.csv,"A univariate time-series dataset  consists of 1043 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 5822.8, maximum value of 10700.3, median value of 8096.5, mean value of 8210.445000000002, and average standard deviation of 0.0954276161996325 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 2 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 2 lags ranges from 0.9897991559228755 for the lag number 1 to -0.09771928281531032 for the lag number 2.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 347.The series exhibits a skewness value of 0.24174611147915623 and a kurtosis value of 0.3196918864049243. The Fractal dimension analysis yields a value of -0.4318874026980526, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.37777777777777777, 'random_state': 42, 'selection': 'cyclic'}"
181.csv,"A univariate time-series dataset  consists of 10368 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.4190149285462423, maximum value of 0.9953477122669234, median value of -0.1877516042571298, mean value of -0.18766287457165845, and average standard deviation of 0.07233409666065002 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8666716010447211 for the lag number 1 to 0.09141078934931249 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 11 seasonality components detected in this series represented as sinusoidal waves with periods 296,230,169,131,68,66,64,62,56,39,38.The series exhibits a skewness value of 0.005779411591641083 and a kurtosis value of 1.062343901891596. The Fractal dimension analysis yields a value of -0.971729225456596, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.9222222222222223, 'random_state': 42, 'selection': 'cyclic'}"
302.csv,"A univariate time-series dataset  consists of 792 samples with a missing values percentage of 0.0% imputed using FBProphet model and 8.207070707070708% detected outliers. The target series has a sampling rate of 480 minutes, minimum value of -1.3148437785434437, maximum value of 0.8553355320022751, median value of -0.9530604037770628, mean value of -0.884449439459116, and average standard deviation of 0.12310822983474916 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 4 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 4 lags ranges from 0.1560583048263758 for the lag number 1 to 0.18471839766592646 for the lag number 6. There exist 2 insignificant lags at these indices 4,5 between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend. There are 4 seasonality components detected in this series represented as sinusoidal waves with periods 22,19,6,2.The series exhibits a skewness value of 3.2001030622900375 and a kurtosis value of 12.895453524600816. The Fractal dimension analysis yields a value of -0.9863626190245305, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 0.5, 'gamma': 3.9963209507789, 'learning_rate': 1, 'max_depth': 7, 'n_estimators': 200, 'random_state': 42, 'reg_lambda': 10, 'subsample': 1}"
H382_train.csv,"A univariate time-series dataset  consists of 768 samples with a missing values percentage of 0.0% imputed using FBProphet model and 3.3854166666666665% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of 11.0, maximum value of 243.0, median value of 56.0, mean value of 60.29265091863517, and average standard deviation of 0.17300953701739635 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 3 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 3 lags ranges from 0.735814374385306 for the lag number 1 to -0.08218059471458004 for the lag number 5. There exist 2 insignificant lags at these indices 3,4 between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 24,12.The series exhibits a skewness value of 1.559946904656557 and a kurtosis value of 3.422685423593498. The Fractal dimension analysis yields a value of -0.43521457464698315, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 1, 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 512, 'random_state': 42, 'warm_start': True}"
H218_train.csv,"A univariate time-series dataset  consists of 768 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of 10.2, maximum value of 25.2, median value of 17.4, mean value of 17.68843626806833, and average standard deviation of 0.2539218053195098 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 6 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 6 lags ranges from 0.9626358404666385 for the lag number 1 to -0.07556120514472708 for the lag number 6.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 24.The series exhibits a skewness value of 0.04500975892309693 and a kurtosis value of 1.19530458539377. The Fractal dimension analysis yields a value of -0.04523420428860167, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",AdaboostRegressor,"{'estimator': DecisionTreeRegressor(max_depth=5), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 200, 'random_state': 42}"
H240_train.csv,"A univariate time-series dataset  consists of 768 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of 10.6, maximum value of 27.8, median value of 20.3, mean value of 20.307001321003963, and average standard deviation of 0.11042394849937529 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 9 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 9 lags ranges from 0.8893842246122838 for the lag number 1 to 0.5559832483551606 for the lag number 10. There exist 1 insignificant lags at these indices 2 between the first and the last significant ones. The series looks to be a additive time-series with a logistic trend. There are 4 seasonality components detected in this series represented as sinusoidal waves with periods 9,9,9,9.The series exhibits a skewness value of 0.0898409376830286 and a kurtosis value of 0.9246862223172911. The Fractal dimension analysis yields a value of -0.35409552456943677, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 0.06897264699245542, 'random_state': 42, 'selection': 'random'}"
H130_train.csv,"A univariate time-series dataset  consists of 560 samples with a missing values percentage of 0.0% imputed using FBProphet model and 8.928571428571429% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of 10.0, maximum value of 6520.0, median value of 126.0, mean value of 335.0252252252252, and average standard deviation of 0.08325652243049413 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 3 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 3 lags ranges from 0.694465274779104 for the lag number 1 to 0.13013323631370774 for the lag number 4. There exist 1 insignificant lags at these indices 3 between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 24.The series exhibits a skewness value of 5.040991419440545 and a kurtosis value of 29.47251519093502. The Fractal dimension analysis yields a value of -0.5580459002058457, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'random_state': 42, 'warm_start': True}"
M22040_train.csv,"A univariate time-series dataset  consists of 98 samples with a missing values percentage of 0.0% imputed using FBProphet model and 3.061224489795918% detected outliers. The target series has a sampling rate of 44640 minutes, minimum value of 1541.3333333333333, maximum value of 1787.4193548387098, median value of 1630.6666666666665, mean value of 1650.0670603270771, and average standard deviation of 0.05911430444482836 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 2 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 2 lags ranges from 0.9859672576608536 for the lag number 1 to 0.2344488903071714 for the lag number 3. There exist 1 insignificant lags at these indices 2 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 98.The series exhibits a skewness value of 0.6318768640566249 and a kurtosis value of 0.3224194083471512. The Fractal dimension analysis yields a value of -0.4560672078816106, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",GaussianProcessRegressor,"{'alpha': 0.01, 'kernel': DotProduct(sigma_0=0.1), 'random_state': 42}"
562.csv,"A univariate time-series dataset  consists of 200 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.5% detected outliers. The target series has a sampling rate of 44640 minutes, minimum value of -9375.387096774193, maximum value of 8829.767516129032, median value of -73.71106451612911, mean value of 126.43297876781891, and average standard deviation of 0.17204866478047942 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 2 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 2 lags ranges from 0.1184193470384536 for the lag number 1 to -0.14075212490273253 for the lag number 3. There exist 1 insignificant lags at these indices 1 between the first and the last significant ones. The series looks to be a additive time-series with a linear trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 5,3.The series exhibits a skewness value of 0.01008214378562644 and a kurtosis value of 0.20572789105636202. The Fractal dimension analysis yields a value of -0.9388370143614537, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LightgbmRegressor,"{'bagging_freq': 1, 'boosting_type': 'gbdt', 'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'min_gain_to_split': 0.1, 'n_estimators': 10, 'num_leaves': 100, 'random_state': 42, 'reg_alpha': 100, 'reg_lambda ': 0.01, 'verbosity': -1}"
